,dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude,yearintcolumn
49859,2012-01-01,7.996,0.204,Abilene,United States,32.95N,100.53W,2012
49871,2013-01-01,6.32,0.267,Abilene,United States,32.95N,100.53W,2013
140284,2012-01-01,-0.3439999999999998,0.41,Akron,United States,40.99N,80.95W,2012
140296,2013-01-01,-1.086,0.22,Akron,United States,40.99N,80.95W,2013
170379,2012-01-01,1.84,0.484,Albuquerque,United States,34.56N,107.03W,2012
170391,2013-01-01,-1.981,0.371,Albuquerque,United States,34.56N,107.03W,2013
190746,2012-01-01,2.382,0.3829999999999999,Alexandria,United States,39.38N,76.99W,2012
190758,2013-01-01,1.842,0.181,Alexandria,United States,39.38N,76.99W,2013
205469,2012-01-01,-0.0409999999999999,0.493,Allentown,United States,40.99N,74.56W,2012
205481,2013-01-01,-0.968,0.29,Allentown,United States,40.99N,74.56W,2013
234006,2012-01-01,6.534,0.314,Amarillo,United States,34.56N,101.19W,2012
234018,2013-01-01,4.14,0.19,Amarillo,United States,34.56N,101.19W,2013
276208,2012-01-01,15.113,0.665,Anaheim,United States,32.95N,117.77W,2012
276220,2013-01-01,13.404000000000002,0.552,Anaheim,United States,32.95N,117.77W,2013
287761,2012-01-01,-22.628,0.863,Anchorage,United States,61.88N,151.13W,2012
287773,2013-01-01,-10.059,0.528,Anchorage,United States,61.88N,151.13W,2013
318175,2012-01-01,-1.44,0.239,Ann Arbor,United States,42.59N,82.91W,2012
318187,2013-01-01,-2.7510000000000003,0.258,Ann Arbor,United States,42.59N,82.91W,2013
336863,2012-01-01,9.993,0.625,Antioch,United States,37.78N,122.03W,2012
336875,2013-01-01,8.32,0.278,Antioch,United States,37.78N,122.03W,2013
403340,2012-01-01,9.359,0.204,Arlington,United States,32.95N,96.70W,2012
403352,2013-01-01,8.597999999999999,0.253,Arlington,United States,32.95N,96.70W,2013
406579,2012-01-01,2.382,0.3829999999999999,Arlington,United States,39.38N,76.99W,2012
406591,2013-01-01,1.842,0.181,Arlington,United States,39.38N,76.99W,2013
419612,2012-01-01,-5.402,0.349,Arvada,United States,39.38N,106.13W,2012
419624,2013-01-01,-8.187999999999999,0.873,Arvada,United States,39.38N,106.13W,2013
469522,2012-01-01,6.7860000000000005,0.301,Atlanta,United States,34.56N,83.68W,2012
469534,2013-01-01,7.817,0.3379999999999999,Atlanta,United States,34.56N,83.68W,2013
484997,2012-01-01,0.7640000000000002,0.4589999999999999,Aurora,United States,39.38N,104.05W,2012
